_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_zipcode,ltable_cuisine,rtable_name,rtable_address,rtable_zipcode,rtable_cuisine
9430,32,7012,stella 34 trattoria,"macy's 6th floor - 35th broadway entrance, 151 w 34th st,",10001,italian pizza cocktail bars,"auntie anne's pretzels, pinkberry",151 w 34th st,10001,hotdogs/pretzels
12082,42,19228,deweys pub,"135 w 30th st, ,",10001,gastropubs,dewey's pub,135 w 30th st,10001,american
12236,42,22795,deweys pub,"135 w 30th st, ,",10001,gastropubs,courtyard by marriott manhattan chelsea,135 w 30th st,10001,american
14931,52,18005,cafe hanamizuki,"143 w 29th st, ,",10001,cafes,hanamizuki cafe,143 w 29th st,10001,japanese
16555,58,15005,e-mo,"2 w 32nd st, ,",10001,korean,paik's noodle,2 w 32nd st,10001,korean
16564,58,16106,e-mo,"2 w 32nd st, ,",10001,korean,krush,2 w 32nd st,10001,american
16580,58,10428,e-mo,"2 w 32nd st, ,",10001,korean,mandoo bar,2 w 32nd st,10001,korean
16759,58,154,e-mo,"2 w 32nd st, ,",10001,korean,ddm yupdduk,2 w 32nd st,10001,korean
17312,60,20252,between the bread eatery - chelsea,"609 w 27th st,",10001,salad cafes,between the bread,609 w 27th st,10001,sandwiches
17634,61,16340,b&b restaurant corp,"165 w 26th st, ,",10001,african,sid gold's request room,165 w 26th st,10001,american
18088,62,22347,seoul garden,"34 w 32nd st, 2nd fl,",10001,korean,space billard,34 w 32nd st,10001,korean
18465,63,6501,takumi taco,"601 w 26th st, 17th fl,",10001,mexican seafood asian fusion,martha stewart cafe,601 w 26th st,10001,cafã©/coffee/tea
19015,67,110,johny's luncheonette,"124 w 25th st, ,",10001,american (traditional) diners breakfast & brunch,perpetuum cafe,124 w 25th st,10001,cafã©/coffee/tea
20852,74,23838,impero caffè,"132 w 27th st, ,",10001,italian,impero cafe,132 w 27th st,10001,italian
22283,78,23002,costas - south american arepas,"30 w 35th st,",10001,latin american,costas,30 w 35th st,10001,"latin (cuban, dominican, puerto rican, south & central american)"
22818,80,16340,sid gold's request room,"165 w 26th st, ,",10001,cocktail bars desserts pizza,sid gold's request room,165 w 26th st,10001,american
23035,81,15005,paik's noodle,"2 w 32nd st, fl 2",10001,korean noodles chinese,paik's noodle,2 w 32nd st,10001,korean
23044,81,16106,paik's noodle,"2 w 32nd st, fl 2",10001,korean noodles chinese,krush,2 w 32nd st,10001,american
23060,81,10428,paik's noodle,"2 w 32nd st, fl 2",10001,korean noodles chinese,mandoo bar,2 w 32nd st,10001,korean
23239,81,154,paik's noodle,"2 w 32nd st, fl 2",10001,korean noodles chinese,ddm yupdduk,2 w 32nd st,10001,korean
24061,85,14153,miss korea bbq,"10 w 32nd st, 1st, 2nd & 3rd fl,",10001,korean barbeque,miss korea barbecue ''sun'',10 w 32nd st,10001,korean
24318,86,16174,new wonjo restaurant,"23 w 32nd st, ,",10001,korean,stage 3,23 w 32nd st,10001,korean
25091,89,6397,shanghai mong,"30 w 32nd st,",10001,korean chinese asian fusion,shanghai mong,30 w 32nd st,10001,korean
