_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_zipcode,ltable_phone,ltable_cuisine,rtable_name,rtable_address,rtable_zipcode,rtable_phone,rtable_cuisine
22283,78,23002,costas - south american arepas,"30 w 35th st,",10001,6465643545.0,latin american,costas,30 w 35th st,10001,7862817669,"latin (cuban, dominican, puerto rican, south & central american)"
22818,80,16340,sid gold's request room,"165 w 26th st, ,",10001,2122291948.0,cocktail bars desserts pizza,sid gold's request room,165 w 26th st,10001,2122291948,american
23035,81,15005,paik's noodle,"2 w 32nd st, fl 2",10001,2126957272.0,korean noodles chinese,paik's noodle,2 w 32nd st,10001,2126957272,korean
23044,81,16106,paik's noodle,"2 w 32nd st, fl 2",10001,2126957272.0,korean noodles chinese,krush,2 w 32nd st,10001,9178649456,american
23060,81,10428,paik's noodle,"2 w 32nd st, fl 2",10001,2126957272.0,korean noodles chinese,mandoo bar,2 w 32nd st,10001,2122793075,korean
23239,81,154,paik's noodle,"2 w 32nd st, fl 2",10001,2126957272.0,korean noodles chinese,ddm yupdduk,2 w 32nd st,10001,2126438488,korean
24061,85,14153,miss korea bbq,"10 w 32nd st, 1st, 2nd & 3rd fl,",10001,2127363232.0,korean barbeque,miss korea barbecue ''sun'',10 w 32nd st,10001,2127363232,korean
24318,86,16174,new wonjo restaurant,"23 w 32nd st, ,",10001,2126955815.0,korean,stage 3,23 w 32nd st,10001,2126297171,korean
25091,89,6397,shanghai mong,"30 w 32nd st,",10001,2126296450.0,korean chinese asian fusion,shanghai mong,30 w 32nd st,10001,2126296450,korean
25518,90,13617,gammeeok,"9 w 32nd st, 2nd fl,",10001,2128681180.0,korean,gammeeok,9 w 32nd st,10001,2128681180,korean
26068,92,6116,american whiskey,"247 w 30th st, ,",10001,2129671070.0,american (new) cocktail bars sports bars,american whiskey,247 w 30th st,10001,2129671070,american
27871,99,20498,the vine - eventi hotel,"851 avenue of the americas, ,",10001,2122014065.0,american (new) bars,starbucks,776 avenue of the americas,10001,2124811856,cafã©/coffee/tea
28038,99,23584,the vine - eventi hotel,"851 avenue of the americas, ,",10001,2122014065.0,american (new) bars,gregory's coffee,874 avenue of the americas,10001,6464783838,cafã©/coffee/tea
28806,101,21509,rock & reilly's nyc,"218 w 35th st, ,",10001,6468502850.0,sports bars american (traditional) burgers,rock and reillys lobby bar,218 w 35th st,10001,6468502850,american
29529,105,611,the kunjip,"32 w 32nd st, ,",10001,2125648238.0,korean,the kunjip,32 w 32nd st,10001,2122169487,korean
30601,108,22371,sushi fussion nyc,"224 w 35th st, ,",10001,6464765246.0,sushi bars asian fusion,lemony grill,224 w 35th st,10001,2126958300,greek
30758,108,3854,sushi fussion nyc,"224 w 35th st, ,",10001,6464765246.0,sushi bars asian fusion,sushi fussion,224 w 35th st,10001,6464765246,jewish/kosher
32880,118,22832,prime cafe,"125 w 26th st, ,",10001,7185135112.0,italian american (traditional) breakfast & brunch,amore,125 w 26th st,10001,9175382594,italian
34041,122,19256,pennsylvania 6 nyc,"132 w 31st st,",10001,2127273666.0,american (new) breakfast & brunch seafood,dee daa,132 w 31st st,10001,2125600099,thai
35119,128,4923,madison square tavern,"150 w 30th st, ,",10001,2122440410.0,bars american (new),madison square tavern,150 w 30th st,10001,2122440410,american
39322,143,14405,cloud 28,"127 w 28th st,",10001,6464844338.0,lounges breakfast & brunch sandwiches,stix chelsea/hotel indigo/rooftop bar,127 w 28th st,10001,6464844338,american
39593,144,1814,hanok,"11 w 32nd st, ,",10001,,korean,food gallery 32,11 w 32nd st,10001,2129671678,korean
39660,144,5815,hanok,"11 w 32nd st, ,",10001,,korean,maru,11 w 32nd st,10001,2122733413,korean
39897,145,611,boon sik zip,"11 w 32nd st, food gallery 32,",10001,,korean,the kunjip,32 w 32nd st,10001,2122169487,korean
39917,145,1814,boon sik zip,"11 w 32nd st, food gallery 32,",10001,,korean,food gallery 32,11 w 32nd st,10001,2129671678,korean
39984,145,5815,boon sik zip,"11 w 32nd st, food gallery 32,",10001,,korean,maru,11 w 32nd st,10001,2122733413,korean
40323,146,17146,barilla restaurants,"108 w 32nd st, ,",10001,6468477171.0,italian,barilla restaurants,108 w 32nd st,10001,2128477171,italian
41416,149,22347,turntable coffee & music,"34 w 32nd st, fl 5",10001,2125944344.0,coffee & tea american (traditional) cafes,space billard,34 w 32nd st,10001,2122394166,korean
42331,152,20900,hanamichi,"28 w 32nd st, ,",10001,2127365393.0,japanese korean sushi bars,hanamichi,28 w 32nd st,10001,2127365393,asian
42564,155,1922,hanbat restaurant,"53 w 35th st, ,",10001,2126295588.0,korean seafood,mew,53 w 35th st,10001,6463689384,japanese
44396,161,20372,mcdonald's,"151 w 34th st, ,",10001,2125941964.0,burgers fast food,pizza bar,151 w 34th st,10001,2036563661,pizza
44404,161,10729,mcdonald's,"151 w 34th st, ,",10001,2125941964.0,burgers fast food,just salad,151 w 34th st,10001,2123555808,salads
44422,161,7012,mcdonald's,"151 w 34th st, ,",10001,2125941964.0,burgers fast food,"auntie anne's pretzels, pinkberry",151 w 34th st,10001,2125940018,hotdogs/pretzels
46495,170,20706,crompton ale house,"159 w 26th st,",10001,2126580089.0,bars american (new),crompton ale house,159 w 26th st,10001,9143741355,american
46721,171,1814,roll & katsu kitchen,"11 w 32nd st, ste 5,",10001,6466205992.0,sushi bars korean japanese,food gallery 32,11 w 32nd st,10001,2129671678,korean
46788,171,5815,roll & katsu kitchen,"11 w 32nd st, ste 5,",10001,6466205992.0,sushi bars korean japanese,maru,11 w 32nd st,10001,2122733413,korean
50812,187,22347,son ja jang,"34 w 32nd st,",10001,2127360029.0,chinese,space billard,34 w 32nd st,10001,2122394166,korean
82562,305,3250,fools gold nyc,"145 e houston st, ,",10002,2126732337.0,gastropubs pubs cocktail bars,fools gold,145 e houston st,10002,2126732337,american
119853,429,23209,benemon,"108 e 4th st,",10003,2126143006.0,japanese,benemon,108 e 4th st,10003,2126143006,japanese
120427,430,2857,tsurutontan udon noodle brasserie,"21 e 16th st, ,",10003,2129891000.0,japanese noodles soup,tsurutontan udon noodle brasserie,21 e 16th st,10003,2129891000,japanese
121361,432,23913,raku,"342 e 6th st, ,",10003,2122281324.0,japanese noodles,raku,342 e 6th st,10003,2122281324,asian
121616,432,3932,raku,"342 e 6th st, ,",10003,2122281324.0,japanese noodles,the eddy,342 e 6th st,10003,9179917538,american
124061,438,1656,irvington,"the w hotel, 201 park ave s,",10003,2126770425.0,american (new),irvington bar and restaurant/studio/lilium,201 park ave s,10003,2127559619,american
124833,440,23913,the eddy,"342 e 6th st, ,",10003,6468959884.0,american (new),raku,342 e 6th st,10003,2122281324,asian
125088,440,3932,the eddy,"342 e 6th st, ,",10003,6468959884.0,american (new),the eddy,342 e 6th st,10003,9179917538,american
130669,456,376,izakaya,"326 e 6th st, ,",10003,9179692469.0,izakaya tapas/small plates,the izakaya,326 e 6th st,10003,9174751284,japanese
134846,464,16097,ootoya greenwich village,"41 e 11th st, ,",10003,2124734300.0,japanese,ootoya,41 e 11th st,10003,2124734300,japanese
137651,471,13712,misirizzi,"36 e 4th st,",10003,2123750100.0,italian,misirizzi,36 e 4th st,10003,2123750100,italian
140450,476,2147,zundo-ya,"84 e 10th st, ,",10003,9176393549.0,ramen,ramen zundo-ya,84 e 10th st,10003,9176393549,japanese
150720,504,23926,tac n roll,"124 e 4th st,",10003,2123530800.0,tacos fast food sandwiches,tac n roll,124 e 4th st,10003,2123530800,chinese
152046,507,21709,sugarfish by sushi nozawa,33 e 20th st,10003,3477058100.0,sushi bars,sugar fish,33 e 20th st,10003,3477058100,japanese
160105,528,19126,le coq rico,"30 e 20th st,",10003,2122677426.0,brasseries,le coq rico,30 e 20th st,10003,2122677426,french
168252,546,20700,casa neta,"40 e 20th st,",10003,2125297870.0,mexican lounges,tamu lola,40 e 20th st,10003,2125297870,tapas
