name,address,zipcode,cuisine
don alex restaurant,9504 37 avenue,11372,peruvian
cafe east - alfred lerner hall,2920 broadway,10027,japanese
rockaway crown restaurant,11509 rockaway beach boulevard,11694,chinese
q cafe (queens college),6330 kissena boulevard,11367,continental
kai feng fu dumpling house,4801 8 avenue,11220,chinese
dragon palace,13822 farmers blvd,11434,chinese
ciao for now,521 east   12 street,10009,cafã©/coffee/tea
garden grill,318 graham avenue,11211,american
korzo,667 5 avenue,11215,german
scarlatto,250 west   47 street,10036,italian
sushi bell,3628 bell boulevard,11361,japanese
cafe plaza deli,11 broadway,10004,american
18 bakery,6820 18 avenue,11204,bakery
jack's wife freda,50 carmine st,10014,mediterranean
vesta trattoria & wine bar,2102 30 avenue,11102,italian
la nueva canasta,272 sand lane,10305,mexican
sundaes and cones,95 east   10 street,10003,"ice cream, gelato, yogurt, ices"
usa diner,24303 merrick boulevard,11422,american
show palace,4250 21 street,11101,american
villa marcello,9627 rockaway boulevard,11417,american
el pote espanol,718 2 avenue,10016,"latin (cuban, dominican, puerto rican, south & central american)"
reggae taste,12926 merrick blvd,11434,caribbean
spitzer's corner,101 rivington street,10002,american
punjabi tadka kabab,688 10 avenue,10019,indian
jackson hole,232 east   64 street,10065,american
bagels & co,18802 union turnpike,11366,jewish/kosher
new york style eats,4502 queens boulevard,11104,american
manna's restaurant,54 east  125 street,10035,soul food
casellula cheese & wine cafe,401 west   52 street,10019,american
kerry hills pub,11510 rockaway beach boulevard,11694,"bottled beverages, including water, sodas, juices, etc."
l' antagoniste,641 hancock st,11233,french
dj pizza,120 e 34th st,10016,pizza
estrella bar & restaurant,1470 jerome avenue,10452,"latin (cuban, dominican, puerto rican, south & central american)"
jorge's restaurant,689 seneca avenue,11385,"latin (cuban, dominican, puerto rican, south & central american)"
m & o bagels,9219 101 avenue,11416,american
cien fuegos,95 avenue a,10009,"latin (cuban, dominican, puerto rican, south & central american)"
bbq village,18112 hillside ave,11432,pakistani
sophie's cuban cuisine,96 chambers street,10007,spanish
southgate restaurant/jw marriot essex house,160 central park south,10019,american
erin's isle,15403 cross island parkway,11357,italian
sunny's,253 conover street,11231,american
row nyc,270 w 45 st,10036,american
crown fried chicken,167 marcus garvey blvd,11221,american
hot bar cold bar,0 laguardia airport,11369,american
little collins,667 lexington avenue,10022,australian
restaurant annisa,13 barrow street,10014,american
las serranitas restaurant,10011 37 avenue,11368,spanish
la roose catering hall,4848 white plains rd,10470,american
mikey's,134 ludlow street,10002,american
black iron burger,245 w 38th st,10018,hamburgers
weekender billiard & bar,4146 54th st,11377,asian
seashore restaurant,591 city island ave,10464,seafood
vamos al tequila,162 franklin street,11222,mexican
crown fried chicken,2106 linden boulevard,11207,chicken
vaqueros,1541 myrtle avenue,11237,"latin (cuban, dominican, puerto rican, south & central american)"
song,295 5 avenue,11215,thai
yorkafe,50112 east   83 street,10028,cafã©/coffee/tea
daniela's cafe,3901 new utrecht ave,11219,mexican
parlor club nyc,286 spring street,10013,french
caffe azzurri d'italia,3040 buhre ave,10461,cafã©/coffee/tea
may flower no.1 chinese restaurant,1116 castleton avenue,10310,chinese
roca tone seafood restaurant,3740 white plains road,10467,caribbean
bluestone lane collective cafe,55 greenwich avenue,10014,australian
star kabab & chinease restaurant,16821 hillside avenue,11432,bangladeshi
circa tabac,32 watts street,10013,american
daisy's pizza wings & burgers,980 longwood avenue,10459,pizza
el conde nuevo bar & restaurant,4139 broadway,10033,spanish
