name,address,zipcode,cuisine
Pocha 32,"15 W 32nd St, 2nd Fl,",10001,Bars Korean
Chickpea,"Penn Station  Amtrak Concourse, 234 W 31st St,",10001,Middle Eastern
Costas - South American Arepas,"30 W 35th St,",10001,Latin American
Fork & Spoon,"7 W 36th St, ,",10001,Delis Breakfast & Brunch Sandwiches
Sid Gold's Request Room,"165 W 26th St, ,",10001,Cocktail Bars Desserts Pizza
Paik's Noodle,"2 W 32nd St, Fl 2",10001,Korean Noodles Chinese
Maggie Reillys Restaurant,"340 9th Ave, ,",10001,Pubs American (Traditional)
The NoMad Bar,"10 W 28th St, , The NoMad Hotel",10001,Cocktail Bars
Gaonnuri,"1250 Broadway, 39th Fl,",10001,Korean Cocktail Bars
miss KOREA BBQ,"10 W 32nd St, 1st, 2nd & 3rd Fl,",10001,Korean Barbeque
New Wonjo Restaurant,"23 W 32nd St, ,",10001,Korean
Juicology,"387 8th Ave, ,",10001,Salad Juice Bars & Smoothies Sandwiches
TEISUI,"246 5th Ave,",10001,Japanese Cocktail Bars
Shanghai Mong,"30 W 32nd St,",10001,Korean Chinese Asian Fusion
Gammeeok,"9 W 32nd St, 2nd Fl,",10001,Korean
Grand Sichuan,"229 9th Ave, ,",10001,Chinese
American Whiskey,"247 W 30th St, ,",10001,American (New) Cocktail Bars Sports Bars
Trattoria Bianca,"481 8th Ave, ,",10001,Italian
Trattoria Bianca,"481 8th Ave, ,",10001,Italian
A&H Deli,"431 7th Ave, ,",10001,Delis Breakfast & Brunch Asian Fusion
Hyo Dong Gak,"51 W 35th St, ,",10001,Korean Chinese
Foley's NY,"18 W 33rd St, ,",10001,American (Traditional) Pubs
Hoa Kitchen,"370 8th Ave, ,",10001,Vietnamese Chinese Asian Fusion
The Vine - Eventi Hotel,"851 Avenue Of The Americas, ,",10001,American (New) Bars
Nick & Stef's Steakhouse,"9 Penn Plz,",10001,Steakhouses
Rock & Reilly's NYC,"218 W 35th St, ,",10001,Sports Bars American (Traditional) Burgers
NY Study Room,"312 5th Ave, Fl 5,",10001,Cafes Libraries
Cavallo's Pizzeria,"324 7th Ave, ,",10001,Pizza
Brooklyn Bagel & Coffee Company,"286 8th Ave, ,",10001,Bagels Breakfast & Brunch Cafes
The Kunjip,"32 W 32nd St, ,",10001,Korean
Gyro Cart,"NW corner of W 31st St and 8th Ave, ,",10001,Food Stands
Sullivan Street Bakery,"236 9th Ave, ,",10001,Bakeries Breakfast & Brunch Cafes
Sushi Fussion NYC,"224 W 35th St, ,",10001,Sushi Bars Asian Fusion
Trestle On Tenth,"242 10th Ave, ,",10001,American (New)
Cafe Rustico II,"25 W 35th St, ,",10001,Italian Pizza
Highline Pizza,"503 W 28th St,",10001,Pizza
Vin Sur Vingt,"1140 Broadway,",10001,French Wine Bars
The Breslin Bar & Dining Room,"16 W 29th St, ,",10001,Pubs Gastropubs Breakfast & Brunch
Lupulo,"835 6th Ave, ,",10001,Seafood Portuguese
The Liberty,"29 W 35th St, ,",10001,American (New) Bars Venues & Event Spaces
Cavallo Pizzeria,"334 8th Ave,",10001,Pizza
Arome Deli & Pizzeria,"138 W 32nd St, ,",10001,Pizza
Prime Cafe,"125 W 26th St, ,",10001,Italian American (Traditional) Breakfast & Brunch
B & D Halal Restaurant,"163B W 29th St, ,",10001,African Halal
The Cinnamon Snail at The Pennsy,"2 Penn Plz, ,",10001,Vegan Vegetarian
Jack Doyle's Bar & Restaurant,"240 W 35th St, ,",10001,American (Traditional) Pubs Irish
Pennsylvania 6 NYC,"132 W 31st St,",10001,American (New) Breakfast & Brunch Seafood
Stout NYC,"133 W 33rd St, ,",10001,Irish Sports Bars
Hudson Station,"440 9th Ave, ,",10001,American (Traditional) Sports Bars
La Sonrisa Empanadas,", ,",10001,Empanadas Food Stands
RARE Bar & Grill,"Hilton New York Fashion District, 152 W 26th St,",10001,Burgers American (Traditional)
Spinelli's Pizzeria,"425 7th Ave, ,",10001,Pizza Sandwiches
Madison Square Tavern,"150 W 30th St, ,",10001,Bars American (New)
Shilla,"37 W 32nd St, ,",10001,Korean Barbeque
Chop Shop,"254 10th Ave,",10001,Asian Fusion Chinese Thai
Robert's Steakhouse,"536 W 28th St, ,",10001,Steakhouses
Turntable Coffee & Music,"34 W 32nd St, Fl 5",10001,Coffee & Tea American (Traditional) Cafes
Pondicheri,"15 West 27th St,",10001,Indian
Antojito Mexicano,"6th Avenue & 28th Street, ,",10001,Mexican Food Stands
sweetgreen,"1164 Broadway, ,",10001,Salad Vegetarian
Bella Napoli,"257 7th Ave, ,",10001,Italian Pizza
Contorno's Restaurant,"30 W 31st St,",10001,Italian Breakfast & Brunch Diners
Skylight Diner,"402 W 34th St, ,",10001,Diners American (Traditional)
Statler Grill,"136 W 33rd St, ,",10001,American (Traditional) Steakhouses Breakfast & Brunch
The Harold,"1271 Broadway, ,",10001,American (Traditional) Breakfast & Brunch
Anesis Cafe,"42 W 35th St Frnt 1, ,",10001,Restaurants
Poppy's Terminal Restaurant,"329 10th Ave, ,",10001,Diners
Cloud 28,"127 W 28th St,",10001,Lounges Breakfast & Brunch Sandwiches
Hanok,"11 W 32nd St, ,",10001,Korean
Boon Sik Zip,"11 W 32nd St, Food Gallery 32,",10001,Korean
Barilla Restaurants,"108 W 32nd St, ,",10001,Italian
Company,"230 9th Ave, ,",10001,Pizza Bars Italian
Broadway Bites,"33rd & Broadway, ,",10001,Food Court Food Trucks
Turntable Coffee & Music,"34 W 32nd St, Fl 5",10001,Coffee & Tea American (Traditional) Cafes
Bombay Sandwich Co,"48 W 27th St, ,",10001,Indian Vegan Vegetarian
Uncle Nicks Greek Cuisine,"382 8th Ave, ,",10001,Greek Mediterranean
HanaMichi,"28 W 32nd St, ,",10001,Japanese Korean Sushi Bars
McDonald's,"429 7th Ave, ,",10001,Fast Food Burgers
High Line Garden,"503 W 28th St, ,",10001,Pizza
Hanbat Restaurant,"53 W 35th St, ,",10001,Korean Seafood
Entree,"240 W 35th St, Ste B,",10001,American (New) Delis Breakfast & Brunch
Niles Restaurant,"371 7th Ave, ,",10001,Bars American (New)
Chandni Restaurant,"13 W 29th St, ,",10001,Indian
Gardenia Deli,"404 8th Ave, ,",10001,Delis
Frying Pan,"Pier 66 Maritime, ,",10001,Landmarks & Historical Buildings
McDonald's,"151 W 34th St, ,",10001,Burgers Fast Food
Savory and Sweet,"398 10th Ave, ,",10001,Bakeries Cafes
No. 7 Sub,"1188 Broadway, ,",10001,Sandwiches
Roastown Coffee,"267 W 34th St, ,",10001,Coffee & Tea Ice Cream & Frozen Yogurt Asian Fusion
Songkran,"330 8th Ave,",10001,Thai
Swagat Indian Restaurant,"205 W 29th St, ,",10001,Indian
Bombay Sandwich,"27 N 6th Ave, ,",10001,Indian Vegetarian Sandwiches
Bottino Take-Out,"246 10th Ave, ,",10001,Sandwiches
Little Italy Pizza,"401 7th Ave, ,",10001,Pizza
Crompton Ale House,"159 W 26th St,",10001,Bars American (New)
Roll & Katsu Kitchen,"11 W 32nd St, Ste 5,",10001,Sushi Bars Korean Japanese
La Bella Stella,"460 W 34th St, ,",10001,Pizza
Panda Express,"414 Eighth Ave,",10001,Chinese Fast Food
230 Fifth Rooftop Bar,"230 Fifth Ave,",10001,Cocktail Bars American (New)
Moya,"793 6th Ave, ,",10001,Chicken Wings Korean
By Suzette,"494 8th Ave, ,",10001,French Creperies Fast Food
Uncle Jack's Steakhouse - Westside,"440 9th Ave, ,",10001,Steakhouses Breakfast & Brunch Seafood
Lasani Restaurant,15 W 29th St,10001,Indian Middle Eastern Pakistani
Gruppo Ristoratori Italiani,"322 8th Ave Ste 1701, ,",10001,Pizza
Porchlight,"271 11th Ave, ,",10001,Cocktail Bars
Ace Hotel New York,"20 W 29th St, ,",10001,Hotels
Ajisen Ramen,"136 W 28th St,",10001,Ramen Sushi Bars
Bottino,"246 10th Ave, ,",10001,Italian
Teremok,"358 7th Ave,",10001,Russian Breakfast & Brunch Salad
Tick Tock Diner,"481 8th Ave, ,",10001,Diners
Cafe R,"116 W 32nd St, ,",10001,Food Court American (New) Breakfast & Brunch
Son Ja Jang,"34 W 32nd St,",10001,Chinese
Blue Dog Cafe,"101 W 25th St, ,",10001,American (New) American (Traditional)
Excuse My French,"96 Orchard St, ,",10002,Bars Tapas Bars French
Simple,"109 Eldridge St, ,",10002,Japanese American (New) Hawaiian
The Boil,"139 Chrystie St,",10002,Cajun/Creole Seafood Wine Bars
The Whales,"71 Clinton St, ,",10002,Korean Cocktail Bars Chicken Wings
Rabbit House,"76 Forsyth St,",10002,Japanese Tapas Bars
Sweet Chick,"178 Ludlow St, ,",10002,American (Traditional)
La  Contenta,"102 Norfolk St, ,",10002,Mexican Bars Breakfast & Brunch
Freemans,"Freeman Aly, ,",10002,Breakfast & Brunch Lounges Desserts
L.E.S kitchen,"15 Essex St, ,",10002,Burgers Sandwiches
Bing Kitchen,"71 Orchard St,",10002,Chinese Taiwanese Asian Fusion
To Two Boonsik,"97 Canal St,",10002,Korean
Pig and Khao,"68 Clinton St, ,",10002,Filipino Thai Asian Fusion
Lao Di Fang,"28 Forsyth St, ,",10002,Chinese
The Stanton Social,"99 Stanton St, ,",10002,Breakfast & Brunch Tapas/Small Plates Lounges
Gohan,14A Orchard St,10002,Japanese Gluten-Free Comfort Food
Lam Zhou Handmade Noodle,"144 E Broadway, ,",10002,Chinese Noodles
Verlaine,"110 Rivington St, ,",10002,Tapas/Small Plates Lounges
The Burgary,"67 Clinton St, ,",10002,Burgers
The Bao Shoppe,"34 Canal St,",10002,Asian Fusion Sandwiches Bubble Tea
Jasmine's,"302 Broome St,",10002,French
Spaghetti Incident,"231 Eldridge St, ,",10002,Italian Breakfast & Brunch Salad
Katz's Delicatessen,"205 E Houston St, ,",10002,Delis Sandwiches
CAFÉ MEDI,107 Rivington St,10002,Mediterranean Cafes
Les Enfants de Boheme,"177 Henry St, ,",10002,French Cafes Cocktail Bars
Clinton Street Baking Company,"4 Clinton St, ,",10002,Breakfast & Brunch
Wah Fung No 1,"79 Chrystie St, ,",10002,Chinese Barbeque Fast Food
