median_household_income,median_real_state_value,zipcode,population_density,cost_of_living,population
69330,407700,11428,24389,150.7,20307
68890,384700,11429,21737,150.1,28311
50450,519000,11432,28703,159.3,61687
42887,379700,11433,21148,155.0,32821
59229,371900,11434,19395,150.3,62809
53041,338100,11435,35351,151.3,53542
62114,365500,11436,22355,151.1,17636
39409,448200,11691,21558,160.1,61091
43354,355800,11692,17698,153.0,17674
50570,323100,11693,11367,149.1,11335
76944,623200,11694,15908,154.2,21725
87636,525600,11697,1902,148.7,4223
