name,address,zipcode,cuisine,violation_code,critical_flag,grade
angelina gourmet foods,0 la guardia airport,11369,american,06C,Critical,A
mika japanese cuisine & bar,150 centre street,10013,chinese/japanese,06F,Critical,B
new china taco,7419 metropolitan ave,11379,tex-mex,08A,Not Critical,A
flip,1000 3 avenue,10022,american,10F,Not Critical,A
bar sepia,234 underhill avenue,11238,american,08A,Not Critical,A
thai suki,60-15 woodside ave,11377,thai,10D,Not Critical,A
john mulligan's fireside pub,4272 katonah avenue,10470,american,04K,Critical,B
chopsticks,11716 liberty avenue,11419,chinese,04M,Critical,A
soho cafe & grill,215 church avenue,11218,american,06C,Critical,A
parigot,155 grand street,10013,french,04N,Critical,B
ichibantei,401 e 13th st,10009,japanese,05E,Critical,Z
rio convenience store,3715 14th ave,11218,jewish/kosher,02B,Critical,B
greenwich street tavern,399 greenwich st,10013,american,06C,Critical,A
eastchester cafe,1695 eastchester road,10461,american,08A,Not Critical,B
sherwood to go,930 3 avenue,10022,american,04N,Critical,A
new peking kitchen,1806 avenue m,11230,chinese,04L,Critical,B
chelsea deli & pizza,301 10 avenue,10001,delicatessen,10F,Not Critical,C
no. 1 chinese restaurant,11663 sutphin blvd,11434,chinese,08A,Not Critical,A
starbucks,32 ave of the amer,10013,café/coffee/tea,04H,Critical,A
starbucks,125 - 135 east  57 street,10022,café/coffee/tea,10F,Not Critical,A
mcdermott's pub,2634 east tremont avenue,10461,american,02B,Critical,A
tasty delicious west indian bakery & restaurant,9006 avenue a,11236,caribbean,04N,Critical,C
east dynasty,1634 crosby ave,10461,chinese,08A,Not Critical,A
flame,100 w 82nd st,10024,japanese,06C,Critical,A
tippin inn,3413 broadway,11106,american,05D,Critical,A
butcher bar,3710 30th ave,11103,barbecue,09C,Not Critical,A
sapphire indian restaurant,435 dekalb ave,11205,indian,06C,Critical,A
aqueduct north,4277 katonah ave,10470,irish,10H,Not Critical,A
rice to riches,37 spring street,10012,american,10F,Not Critical,A
sushi k bar,888 bedford avenue,11205,japanese,10F,Not Critical,A
"dunkin' donuts, baskin robbins",18151817 avenue u,11229,café/coffee/tea,06D,Critical,A
cinnabon/auntie anne's,6135 junction blvd,11374,bakery,04L,Critical,A
el nuevo barzola restaurant,3386 atlantic avenue,11208,spanish,10F,Not Critical,A
peking chinese restaurant,6978 188th st,11365,chinese,10F,Not Critical,A
posh tomato,1701 avenue m,11230,pizza,08A,Not Critical,B
"mama val's fish, shrimp, & chips",983 leggett ave,10455,soul food,04A,Critical,A
olma lounge & bar,420 amsterdam ave,10024,tapas,08C,Not Critical,A
dairy queen grill & chill,27 graham ave,11206,american,10F,Not Critical,A
highline pizzeria,503 west   28 street,10001,pizza,10F,Not Critical,A
nysb,0 jfk international airport,11430,american,04N,Critical,A
boston pizza,3705 broadway,11103,pizza,02B,Critical,A
green lotus,17659 union turnpike,11366,asian,10F,Not Critical,A
sunberi yogurt & cafe,3504 30th ave,11103,"ice cream, gelato, yogurt, ices",10B,Not Critical,A
coffeed,3718 northern boulevard,11101,café/coffee/tea,10F,Not Critical,A
m shanghai,292 grand st,11211,chinese,04L,Critical,C
mela's cafe,1735 washington avenue,10457,spanish,10F,Not Critical,A
papa restaurant,463 e tremont ave,10457,"latin (cuban, dominican, puerto rican, south & central american)",09B,Not Critical,A
cascabel taqueria,1556 2nd ave,10028,mexican,04N,Critical,B
french epi,123 greenpoint ave,11222,french,06D,Critical,A
u-me sushi,8509 jamaica ave,11421,asian,06E,Critical,A
madison square tavern,150 w 30th st,10001,american,09B,Not Critical,C
bagel corner,581 west  235 street,10463,bagels/pretzels,10F,Not Critical,A
el nuevo triangulo restaurant,7511 rockaway boulevard,11421,"latin (cuban, dominican, puerto rican, south & central american)",06F,Critical,B
shangri-la,208 7 avenue,10011,thai,06D,Critical,B
mistura peruana restaurant,8423 jamaica avenue,11421,spanish,06F,Critical,A
club max,238 east   53 street,10022,"bottled beverages, including water, sodas, juices, etc.",10F,Not Critical,A
dunkin' donuts,359 neptune ave,11235,donuts,10E,Not Critical,A
famous fresh super taco & grill inc,253 avenue x,11223,chinese,04N,Critical,B
the west cafe,379 union avenue,11211,american,10F,Not Critical,A
mami's coffee shop adolfo,1176 garrison ave,10474,spanish,10F,Not Critical,A
tita's donuts and coffee shop,1930 grand concourse,10457,bakery,10F,Not Critical,A
kenny's restaurant,1924 nostrand avenue,11226,chinese,08A,Not Critical,A
by chloe,185 bleecker st,10012,vegetarian,04L,Critical,A
the smith,956 2 avenue,10022,american,04N,Critical,A
el puerto mexicano,8428 jamaica avenue,11421,mexican,10F,Not Critical,A
plaza bagels & deli,73 new dorp plaza,10306,bagels/pretzels,04L,Critical,A
crave fish bar,945 2 avenue,10022,seafood,10J,Not Critical,A
soy sauce,6822 main st,11367,chinese,06C,Critical,A
sushi sushi,126 macdougal st,10012,japanese,05D,Critical,A
terrace on the park,5211 111 street,11368,american,06C,Critical,Z
blue sky bakery,53 5 avenue,11217,bakery,02G,Critical,A
ed's lobster bar,222 lafayette street,10012,seafood,10F,Not Critical,A
secrets gentleman's club,4914 queens boulevard,11377,american,08A,Not Critical,A
tigre's pizza & restaurant,234 east  174 street,10457,american,02G,Critical,A
mexican festival,2672 broadway,10025,mexican,10H,Not Critical,A
naomi kosher pizza,6828 main street,11367,jewish/kosher,10F,Not Critical,A
pho 18 ave,7116 18th ave,11204,vietnamese/cambodian/malaysia,02H,Critical,A
maison hugo,132 e 61st st,10065,french,04A,Critical,A
regal cinemas,8028 cooper avenue,11385,american,10F,Not Critical,A
santoor indian restaurant,25705 union turnpike,11004,indian,04M,Critical,A
fort hamilton diner,9502 fourth avenue,11209,american,04N,Critical,A
pita pan,167 7 avenue,11215,middle eastern,06C,Critical,A
ronald pitusa bakery,1812 white plains road,10462,bakery,08C,Not Critical,A
l.i.e. hot bagel,21025 horace harding expressway,11364,bagels/pretzels,06C,Critical,A
gentilly,64 carmine st,10014,creole/cajun,04L,Critical,B
linda's pizza,729 east tremont avenue,10457,pizza,10F,Not Critical,A
masters of taco's mexican restaurant,181 w end ave,11235,mexican,08A,Not Critical,A
le pain quotidien,550 hudson street,10014,sandwiches,10F,Not Critical,A
zaytoons restaurant,472 myrtle avenue,11205,middle eastern,08A,Not Critical,A
midwood flats,577 flatbush ave,11225,american,06C,Critical,A
jade joy,1642 bruckner blvd,10473,chinese,02H,Critical,B
best joy siang restaurant,4121 national st,11368,chinese,08C,Not Critical,C
simplylife bakery cafe inc,7406 new utrecht ave,11204,chinese,10F,Not Critical,A
bacco,3524 johnson ave,10463,italian,06C,Critical,A
anatolia mediterranean cuisine,401 east   62 street,10065,mediterranean,06A,Critical,A
barrow street alehouse,15 barrow street,10014,american,02G,Critical,A
the supply house,1647 2 avenue,10028,american,06D,Critical,A
n & d pizza,107 avenue u,11223,pizza/italian,10F,Not Critical,A
aa chinese restaurant,214 e burnside ave,10457,chinese,04D,Critical,B
market restaurant (c-d block),355 food center drive,10474,american,04L,Critical,A
tertulia,359 6 avenue,10014,spanish,10F,Not Critical,A
sushi ave x,241 avenue x,11223,japanese,04M,Critical,A
pauline and sharon's,597 4 avenue,11215,pizza,10F,Not Critical,A
h. j. m deli,1380 bronx river ave,10472,"bottled beverages, including water, sodas, juices, etc.",04L,Critical,B
daily bagel,1111 1st ave,10065,american,06C,Critical,A
dallas bbq,2146 nostrand ave,11210,barbecue,02B,Critical,A
nargila grill,1599 york avenue,10028,jewish/kosher,09A,Not Critical,A
polanco's restaurant,3313 108th st,11368,"latin (cuban, dominican, puerto rican, south & central american)",08A,Not Critical,A
golden krust,16510 jamaica ave,11432,caribbean,06A,Critical,A
nan xiang xiao long bao restaurant,3812 prince street,11354,chinese,04L,Critical,A
champion coffee,1107 manhattan ave,11222,café/coffee/tea,06D,Critical,A
little frog francois latapie,322 e 86th st,10028,french,06F,Critical,A
cascabel taqueria,2799 broadway,10025,mexican,02G,Critical,B
the wind jammer,552 grandview ave,11385,american,10F,Not Critical,A
min jiang mini cafe,67 eldridge st,10002,chinese,04M,Critical,A
sevilla restaurant,62 charles street,10014,"latin (cuban, dominican, puerto rican, south & central american)",06C,Critical,A
umami burger,432 avenue of the americas,10011,hamburgers,04N,Critical,A
new win chinese restaurant,14406 243rd st,11422,chinese,10F,Not Critical,A
a & l pizza restaurant,6024 18th ave,11204,pizza,10F,Not Critical,B
home garden,1806 crotona ave,10457,chinese,02B,Critical,A
ho wah restaurant,551 gates ave,11216,chinese,06C,Critical,A
domino's,10502 merrick boulevard,11433,pizza,06D,Critical,A
guyers,286 columbus ave,10023,american,06E,Critical,A
numero 28 pizzaria & cucina,68 bergen st,11201,pizza/italian,04N,Critical,A
rk super heroes,978 east gun hill road,10469,american,10B,Not Critical,B
tequila chito's mexican grill,358 west   23 street,10011,mexican,08C,Not Critical,A
j & s pizza,24435 merrick boulevard,11422,pizza,08A,Not Critical,A
daddy's cafe,1939 mcdonald avenue,11223,american,08A,Not Critical,A
dig inn seasonal market,1178 broadway,10001,american,10F,Not Critical,A
new apollo diner,159 livingston street,11201,american,10H,Not Critical,A
garden city chinese restaurant,22401 merrick blvd,11413,chinese,10I,Not Critical,A
the louise/saloon,1584 york avenue,10028,american,06C,Critical,A
china wang restaurant,109 west 225 street,10463,chinese,10F,Not Critical,A
rucola,190 dean street,11217,italian,04C,Critical,A
tick tock diner,481 8 avenue,10001,american,04H,Critical,B
the globe tavern,4910 skillman ave,11377,irish,04A,Critical,A
john's pizzeria and restaurant,8340 parsons boulevard,11432,pizza/italian,04N,Critical,A
chelsea deli and bakery,254 8th ave,10011,american,10F,Not Critical,A
gyro corner,3269 francis lewis boulevard,11358,middle eastern,10F,Not Critical,A
brigadeiro bakery,156 sullivan st,10012,bakery,10D,Not Critical,A
canton kitchen,171 hester street,10013,chinese,08B,Not Critical,B
dunkin' donuts,208 e 14th st,10003,donuts,06E,Critical,A
corso coffee,235 west   46 street,10036,café/coffee/tea,08A,Not Critical,A
subway,111 central park north,10026,american,06C,Critical,A
blue bottle coffee,600 11th ave,10036,café/coffee/tea,06B,Critical,A
brinkley's/southside,406 broome street,10013,american,06D,Critical,A
dawat,210 east   58 street,10022,indian,06C,Critical,A
amy ruth's restaurant,113 west  116 street,10026,soul food,10F,Not Critical,A
the central bar,109 east    9 street,10003,american,04L,Critical,A
ramen meijin,1574 2nd ave,10028,japanese,10F,Not Critical,A
mile end sandwich,53 bond street,10012,delicatessen,06D,Critical,A
xing wong bbq,89 e broadway,10002,chinese,06E,Critical,B
sushi hana,111 rivington street,10002,japanese,06A,Critical,A
jacob restaurant,2695 federick douglas blvd,10030,soul food,10F,Not Critical,A
route 66 american bbq,79 pearl st,10004,american,06C,Critical,A
tribeca park cafe,1 walker street,10013,delicatessen,06D,Critical,A
siggy's nyc,292 elizabeth street,10012,american,08A,Not Critical,B
mom's pizza,15 avenue d,10009,american,08C,Not Critical,Z
lucky's famous burgers,147 east houston street,10002,hamburgers,06C,Critical,A
xi'an famous foods,67 bayard street,10013,chinese,02B,Critical,A
macaron cafe,44 east   59 street,10022,café/coffee/tea,02G,Critical,A
ifh el buffet restaurant  alberto's mofongo house,217 dyckman street,10040,"latin (cuban, dominican, puerto rican, south & central american)",06C,Critical,A
blimpie,69 nassau street,10038,sandwiches,04N,Critical,A
dunkin' donuts,33 beaver st,10004,donuts,10H,Not Critical,A
tung thong 181,812 w 181st st,10033,thai,08A,Not Critical,A
kaede japanese restaurant,90 chambers st,10007,japanese,10F,Not Critical,A
da gennaro,129 mulberry street,10013,italian,04H,Critical,A
house of pizza & calzones,132 union street,11231,pizza/italian,10F,Not Critical,A
rivoli pizza restaurant,176 7 avenue south,10014,pizza,10B,Not Critical,B
snafu,127 east   47 street,10017,american,04L,Critical,A
pop pub,41 east   11 street,10003,american,10F,Not Critical,A
kashmir,478 9th ave,10018,middle eastern,10F,Not Critical,A
havana ny restaurant & bar,58 w 38th st,10018,chinese/cuban,09C,Not Critical,A
blue bottle coffee,85 dean st,11201,café/coffee/tea,10H,Not Critical,A
new arping restaurant,45 division st,10002,chinese,02G,Critical,A
katsuhama 47,11 east 47 street,10017,japanese,10F,Not Critical,A
388 cafe & deli,3-jan eldridge street,10002,chinese,06F,Critical,A
hyo dong gak,51 west   35 street,10001,korean,02G,Critical,A
arepa factory,145-147 avenue a,10009,"latin (cuban, dominican, puerto rican, south & central american)",09B,Not Critical,A
beer authority,300 west   40 street,10018,american,10B,Not Critical,B
five guys famous burgers and fries,296 bleeker street,10014,hamburgers,02B,Critical,A
pret a manger,nka penn station,10001,soups & sandwiches,10F,Not Critical,A
briciola,370 west   51 street,10019,italian,09C,Not Critical,A
benito one,174 mulberry street,10013,italian,10F,Not Critical,A
majestic delicatessen cafe,200 west   50 street,10019,american,02H,Critical,A
5c cafe & cultural center,68 avenue c,10009,café/coffee/tea,10F,Not Critical,A
dulce vida cafe,1219 lexington avenue,10028,"latin (cuban, dominican, puerto rican, south & central american)",06D,Critical,A
nyc handcrafted,367 3rd ave,10016,american,06D,Critical,A
mancora,99 1 avenue,10003,peruvian,10F,Not Critical,A
chevalier restaurant,30 w 53rd st,10019,american,04N,Critical,A
bite of hong kong,81 chrystie st,10002,chinese,10C,Not Critical,A
marco's restaurant,391 2nd ave,10010,tapas,02B,Critical,B
fraunces tavern,54 pearl street,10004,american,04N,Critical,A
brindle room,277 east   10 street,10009,american,04L,Critical,A
just salad,140 8th ave,10011,salads,08A,Not Critical,A
pokeworks,63 w 37th st,10018,hawaiian,10F,Not Critical,A
hua ji pork chop fast food,7 allen st,10002,chinese,06E,Critical,B
jordan snack bar and burger,4419 broadway,10040,spanish,06D,Critical,A
inday,1133 broadway,10010,indian,04L,Critical,A
kung fu tea,40 hoyt st,11201,korean,10F,Not Critical,A
akura sushi,39 e 31st st,10016,japanese,02G,Critical,A
grand salon and bar,28 w 53rd st,10019,american,06D,Critical,A
cuatomate,3807 broadway,11103,mexican,10H,Not Critical,A
istanbul bay,8002 5th ave,11209,mediterranean,06E,Critical,A
breads bakery,41 w 40th st,10018,american,04H,Critical,A
dunkin' donuts,10 w 33rd st,10001,american,04N,Critical,A
gotham pizza,852 eighth ave,10019,pizza,06E,Critical,A
hale & hearty soup,55 grand central terminal,10017,soups & sandwiches,08A,Not Critical,A
oriental garden restaurant,14 elizabeth street,10013,chinese,10F,Not Critical,A
the trustees of columbia university in the city of ny,533 w 218th st,10034,hotdogs,10H,Not Critical,A
justin pizza,840 river ave,10451,pizza,02B,Critical,A
andellas pizzeria,1281 arthur kill rd,10312,pizza/italian,06C,Critical,A
mamma rosa's,1007 allerton avenue,10469,delicatessen,10B,Not Critical,A
mad hatter saloon,360 3 avenue,10016,american,04N,Critical,B
long shots,11000 rockaway boulevard,11420,american,10I,Not Critical,A
city winery,155 varick street,10013,american,02B,Critical,A
herbalife,201 west  135 street,10030,"juice, smoothies, fruit salads",04A,Critical,A
two doors,1576 3 avenue,10128,american,04L,Critical,A
eliezer kitchen,100 church street,10007,american,10H,Not Critical,A
smoocha,315 5th ave,10016,american,04N,Critical,A
armando grocery & bakery,272 wyckoff avenue,11237,bakery,10F,Not Critical,A
el luchador taqueria,132 ludlow st,10002,mexican,05D,Critical,A
xo taste,41 elizabeth street,10013,chinese,10F,Not Critical,A
new east king,9021 63rd dr,11374,chinese,10E,Not Critical,A
john brown smokehouse,1043 44 drive,11101,american,04N,Critical,A
buca/buchetta,201 west  103 street,10025,pizza/italian,08A,Not Critical,A
subway,507 e 161st st,10451,sandwiches/salads/mixed buffet,04N,Critical,A
cup of brooklyn,1071b gates ave,11221,café/coffee/tea,06D,Critical,A
three seat espresso,137 avenue a,10009,café/coffee/tea,06C,Critical,A
franco bakery,527 east  138 street,10454,bakery,06A,Critical,B
jerk pan kusine,11302 springfield blvd,11429,caribbean,06E,Critical,A
dunkin' donuts,636 city island ave,10464,donuts,08C,Not Critical,A
chicken provence,154 e 39th st,10016,french,04L,Critical,A
popeyes louisiana kitchen,1351 forest avenue,10302,chicken,04L,Critical,A
hop kee restaurant,21 mott street,10013,chinese,06C,Critical,A
molto buona pizza,157 e 170th st,10452,pizza,10F,Not Critical,A
dunkin' donuts,4000 hylan boulevard,10308,donuts,04N,Critical,A
new capital restaurant,2 west kingsbridge road,10468,american,06D,Critical,A
papa john's,1009 broadway,11221,pizza,09C,Not Critical,A
la nonna,134 mulberry street,10013,italian,08A,Not Critical,B
red robin gourmet burgers and brew,200 baychester ave,10475,american,10F,Not Critical,A
gino's brick oven pizza & trattoria,548550 flatbush avenue,11225,pizza,06A,Critical,A
the smith,1900 broadway,10023,american,10F,Not Critical,A
toad style,93 ralph ave,11221,vegetarian,10J,Not Critical,A
brook avenue deli & pizza,348 brook avenue,10454,pizza,04A,Critical,A
carifesta restaurant,4251 white plains rd,10466,caribbean,10F,Not Critical,A
track kitchen,11000 rockaway boulevard,11420,american,02B,Critical,Z
enzo's restaurant,1998 williamsbridge road,10461,italian,10B,Not Critical,A
los mismo restaurant,10411 roosevelt avenue,11368,"latin (cuban, dominican, puerto rican, south & central american)",02B,Critical,B
good friends,11000 rockaway boulevard,11420,asian,04N,Critical,A
poppy's pizza,55 gunton pl,10309,pizza,06C,Critical,A
yummy kitchen,9021 31 avenue,11369,chinese,09C,Not Critical,A
domenicos pizzeria,5838 amboy road,10309,pizza/italian,06A,Critical,A
7th avenue donut shop,324 7 avenue,11215,donuts,06D,Critical,A
little rabbit chinese restaurant,22011 linden blvd,11411,chinese,08A,Not Critical,A
starbucks,511 lexington avenue,10017,café/coffee/tea,10F,Not Critical,A
sik gaek,4911 roosevelt ave,11377,korean,10F,Not Critical,B
cinco de mayo,837 washington ave,10451,mexican,08A,Not Critical,A
fu run dong bei,4009 prince st,11354,chinese,02B,Critical,A
wing bistro,1109 1st ave,10065,american,04L,Critical,A
crown fried chicken & pizza,5930 glenwood rd,11234,chicken,10F,Not Critical,A
dunkin' donuts,4201 webster avenue,10470,donuts,10B,Not Critical,A
gennaro's at country lanes,1600 hylan boulevard,10305,american,10F,Not Critical,A
smashburger,4325 boston rd,10466,hamburgers,04L,Critical,B
yu sushi bar,13344 37th ave,11354,japanese,08C,Not Critical,A
chimi mundo on wheels,664 knickerbocker ave,11221,"latin (cuban, dominican, puerto rican, south & central american)",10F,Not Critical,A
guckenheimer @ twitter nyc coffee bar,245 w 17th st,10011,café/coffee/tea,10F,Not Critical,A
anna maria pizza pasta,179 bedford avenue,11211,pizza,10F,Not Critical,A
krystal bar & lounge,1534 university ave,10452,spanish,10F,Not Critical,A
guizhou noodles house,4142 main st,11355,chinese,06F,Critical,A
gennaro's rest & pizzeria,413 new dorp lane,10306,pizza/italian,02G,Critical,B
mcdonald's,14 e 47th st,10017,hamburgers,10F,Not Critical,A
subway,301 cathedral pkwy,10026,sandwiches,06D,Critical,A
mi armadillo grande,1569 castleton ave,10302,"latin (cuban, dominican, puerto rican, south & central american)",06C,Critical,A
jackie's paradise,936 e 233rd st,10466,caribbean,02B,Critical,A
american cheez,444 7th ave,11215,american,10F,Not Critical,A
honey bee cakes,1431 150th st,11357,café/coffee/tea,10F,Not Critical,A
jimbo's hamburger palace,528 west  145 street,10031,american,04M,Critical,A
tortillas king,2238 86th st,11214,mexican,02B,Critical,A
champion bakery,3978 white plains road,10466,hawaiian,08C,Not Critical,A
86 best bakery,1957 86 street,11214,bakery,02B,Critical,B
fella's bar,522 city island ave,10464,american,06C,Critical,A
jora restaurant and bar,4746 11th st,11101,peruvian,06D,Critical,A
mcdonald's,57 empire boulevard,11225,hamburgers,06D,Critical,A
sushi 33,6356 booth street,11374,japanese,10F,Not Critical,A
the rock restaurant & diner,9117 liberty ave,11417,spanish,02B,Critical,A
restaurant on the plaza pizzeria,50 new dorp plaza,10306,pizza/italian,06F,Critical,A
inaka,8318 3rd ave,11209,asian,09B,Not Critical,A
retro fitness,2965 veterans road west,10309,american,04A,Critical,A
moonstruck east,449 third avenue,10016,american,10J,Not Critical,A
novecento,343 west broadway,10013,other,04L,Critical,A
yankee clipper,0 laguardia airport bldg,11371,american,10B,Not Critical,A
hanco's,350 7 avenue,11215,asian,04L,Critical,A
bar brace,0 laguardia airport,11369,italian,10F,Not Critical,A
roca tone seafood restaurant,3740 white plains road,10467,caribbean,09B,Not Critical,B
cafe d'alsace,1695 2 avenue,10128,french,10B,Not Critical,A
la fiesta restaurant,415 east  138 street,10454,mexican,02G,Critical,B
bisoux restaurant,0 laguardia airport,11369,american,10F,Not Critical,A
j and l deli,682 5 avenue,11215,delicatessen,04L,Critical,A
cafe bench,19409 northern boulevard,11358,american,10H,Not Critical,A
bistro chat noir,22 east   66 street,10065,french,06D,Critical,A
fukuoka shabu shabu,4568 kissena boulevard,11355,asian,10F,Not Critical,A
ecua pollos deli restaurant,1262 myrtle avenue,11221,"latin (cuban, dominican, puerto rican, south & central american)",08C,Not Critical,A
takahachi tribeca,145 duane street,10013,japanese,09B,Not Critical,A
the local,13-02 44th avenue,11101,american,06D,Critical,A
crown fried chicken,2214 fulton st,11233,chicken,10F,Not Critical,A
la bella rosa bakery,605 east tremont avenue,10457,bakery,04N,Critical,A
casablanca grill,1132 1st ave,10065,moroccan,02G,Critical,B
royal cucina,1352 hylan boulevard,10305,american,06D,Critical,A
empanadas monumental,3772 broadway,10032,spanish,08A,Not Critical,A
sazon ramirez restaurant,174 south ave,10303,"latin (cuban, dominican, puerto rican, south & central american)",08A,Not Critical,B
gila's nosh,221 east   23 street,10010,mediterranean,10A,Not Critical,A
scorpio,3515 broadway,11106,eastern european,04H,Critical,A
best western gregory hotel,8315 4 avenue,11209,american,06C,Critical,B
smilers,554 5 avenue,10036,american,02B,Critical,A
"dunkin' donuts, baskin robbins",1710 eastern parkway,11233,american,06C,Critical,A
america gourmet food,831 6 avenue,10001,delicatessen,06F,Critical,A
k town,34 west   32 street,10001,korean,06C,Critical,A
latino's bar & grill restaurant,3864 broadway,10032,"latin (cuban, dominican, puerto rican, south & central american)",04N,Critical,B
pisa pizzeria,6568 myrtle avenue,11385,pizza/italian,04L,Critical,A
speedy deli,1271 broadway,10001,american,10F,Not Critical,A
pa pa thai cuisine,1069 1st ave,10022,thai,10F,Not Critical,A
lite bites cafe and grill,3191 steinway street,11103,american,10F,Not Critical,A
subway,4343 91st pl,11373,sandwiches/salads/mixed buffet,10J,Not Critical,A
lydig coffee shop,721 lydig avenue,10462,american,04N,Critical,A
wendy's,420 86th st,11209,american,10F,Not Critical,A
bar coastal,1495 1 avenue,10075,american,10F,Not Critical,A
peaches,393-403 lewis avenue,11233,soul food,04N,Critical,A
xiang dragon chinese restaurant,2331 1 avenue,10035,chinese,10F,Not Critical,A
freefoods,18 west   45 street,10036,salads,04N,Critical,B
arth alganatin,700 rhinelander ave,10462,middle eastern,04M,Critical,Z
h & h midtown bagels east,1551 2 avenue,10028,bagels/pretzels,02G,Critical,B
leche y miel restaurant,5761 broadway,10463,"latin (cuban, dominican, puerto rican, south & central american)",08A,Not Critical,A
bibi winecellar,211 e 4th st,10009,american,02G,Critical,A
el anzuelo fino restaurant,9801 jamaica avenue,11421,peruvian,06E,Critical,A
a little taste cafe (alt box),234 e 60th st,10022,café/coffee/tea,10F,Not Critical,A
el palenque sport bar,7004 roosevelt ave,11372,spanish,10F,Not Critical,A
patsy's pizzeria,2289 1st ave,10035,italian,04N,Critical,A
re.union,544 union ave,11211,café/coffee/tea,02G,Critical,A
hallal sandwich shop,2561 steinway street,11103,sandwiches,06C,Critical,A
cucina bene pizzeria,41 exchange place,10005,pizza,10F,Not Critical,A
nino's pizza,9110 3 avenue,11209,pizza,04L,Critical,A
wilfie & nell,228 west    4 street,10014,irish,04N,Critical,A
theater cafe,10603 metropolitan avenue,11375,american,04N,Critical,A
dunkin' donuts,3248 steinway street,11103,donuts,10F,Not Critical,A
coffee tossy,4214 greenpoint ave,11104,sandwiches/salads/mixed buffet,06D,Critical,A
bistecca fiorentina steak,317 west 46 street,10036,italian,04M,Critical,A
new taste restaurant,9462 corona ave,11373,chinese,10B,Not Critical,A
e.a.t. cafe,1064 madison avenue,10028,american,06D,Critical,A
nebraska steakhouse,15 stone street,10004,steak,10F,Not Critical,B
dont tell mama,343 west   46 street,10036,american,06D,Critical,B
arzu restaurant,10105 queens boulevard,11375,jewish/kosher,08A,Not Critical,A
kura,130 st marks place,10009,japanese,10B,Not Critical,A
dar 525,525 grand street,11211,mediterranean,10H,Not Critical,A
genao restaurant & bar,162 throop avenue,11206,"latin (cuban, dominican, puerto rican, south & central american)",02B,Critical,A
chopstick king & new yummy chinese restaurant,3319 36 avenue,11106,chinese,06D,Critical,A
sophie's restaurant(entrance on 73 new street),26 broadway,10004,"latin (cuban, dominican, puerto rican, south & central american)",10F,Not Critical,Z
jimbos bar & restaurant,3005 astoria blvd,11102,greek,10B,Not Critical,A
dunkin' donuts,1014 flatbush avenue,11226,donuts,10F,Not Critical,A
serbian association,7254 65th pl,11385,eastern european,04L,Critical,A
black door,127 west   26 street,10001,american,04L,Critical,A
astoria coffee,3004 30th st,11102,café/coffee/tea,02B,Critical,A
prince dessert and tea room,3639 prince st,11354,café/coffee/tea,06C,Critical,A
trattoria bianca,481 8 avenue,10001,american,06D,Critical,A
popeyes louisiana kitchen,722 flatbush avenue,11225,chicken,06D,Critical,A
alidoro,348 bowery,10012,sandwiches/salads/mixed buffet,08C,Not Critical,A
joe & sal's pizzeria,842 franklin ave,11225,pizza,06D,Critical,A
golden krust caribbean bakery & grill,31 victory boulevard,10301,caribbean,02B,Critical,C
git-it-n-git,1299 bergen st,11213,seafood,02G,Critical,A
domino's,9105 4 avenue,11209,pizza,04L,Critical,B
san pietro,18 east   54 street,10022,italian,08A,Not Critical,A
trattoria tre colori,254 west   47 street,10036,italian,10F,Not Critical,A
mi lindo san miguelito,257 w 231st st,10463,mexican,08A,Not Critical,B
la bellezza pizzeria,315 broadway,10007,pizza,08A,Not Critical,P
morrell wine bar & cafe,14 west   49 street,10020,american,02G,Critical,A
subway,10021 queens boulevard,11375,soups & sandwiches,04A,Critical,A
alice's tea cup,220 east   81 street,10028,american,04N,Critical,A
wendy's,1761 forest avenue,10303,hamburgers,10F,Not Critical,A
estrella del mar restaurant,552 seneca avenue,11385,"latin (cuban, dominican, puerto rican, south & central american)",06D,Critical,A
le village,127 east    7 street,10009,french,10H,Not Critical,A
checkers,491 nostrand ave,11216,hamburgers,10B,Not Critical,A
cheung lee,108 kingston avenue,11213,chinese,02B,Critical,A
domino's,1993 third avenue,10029,pizza,04N,Critical,A
the original sal's pizzeria,6048 myrtle avenue,11385,pizza/italian,08C,Not Critical,A
maroo,1640 3rd ave,10128,korean,06C,Critical,A
gold mine cafe,5578 broadway,10463,greek,04N,Critical,A
barry's bootcamp park ave south,107 e 27th st,10016,"juice, smoothies, fruit salads",06C,Critical,A
moustache,1621 lexington avenue,10029,middle eastern,08A,Not Critical,A
cafe bravo/ pomodoro pizza/planet gyro,94 greenwich street,10006,american,06D,Critical,A
lunch box cafe brooklyn,120 norman ave,11222,café/coffee/tea,04H,Critical,A
sing wok kitchen,353 e 204th st,10467,chinese,08A,Not Critical,A
queen of sheba ethiopian restaurant,650 10 avenue,10036,ethiopian,08A,Not Critical,A
cafe 101 16th floor cafeteria,101 barclay street,10007,american,04N,Critical,A
kfc,1667 pitkin avenue,11212,chicken,05D,Critical,A
lupita's mexican food,2366 grand concrs,10458,mexican,02G,Critical,A
rio dela plata bakery,9465 corona ave,11373,bakery,08A,Not Critical,B
pick and eat 2,4932 broadway,10034,american,02B,Critical,A
domino's,738 morris park avenue,10462,pizza,04L,Critical,B
652 lin's garden,652 seneca avenue,11385,chinese,10F,Not Critical,A
joya,215 court street,11201,thai,10F,Not Critical,A
happy world,1309 saint nicholas ave,10033,chinese,08A,Not Critical,A
