name,address,zipcode,cuisine
juicology,"387 8th ave, ,",10001,salad juice bars & smoothies sandwiches
teisui,"246 5th ave,",10001,japanese cocktail bars
shanghai mong,"30 w 32nd st,",10001,korean chinese asian fusion
gammeeok,"9 w 32nd st, 2nd fl,",10001,korean
grand sichuan,"229 9th ave, ,",10001,chinese
american whiskey,"247 w 30th st, ,",10001,american (new) cocktail bars sports bars
trattoria bianca,"481 8th ave, ,",10001,italian
trattoria bianca,"481 8th ave, ,",10001,italian
a&h deli,"431 7th ave, ,",10001,delis breakfast & brunch asian fusion
hyo dong gak,"51 w 35th st, ,",10001,korean chinese
foley's ny,"18 w 33rd st, ,",10001,american (traditional) pubs
hoa kitchen,"370 8th ave, ,",10001,vietnamese chinese asian fusion
the vine - eventi hotel,"851 avenue of the americas, ,",10001,american (new) bars
nick & stef's steakhouse,"9 penn plz,",10001,steakhouses
rock & reilly's nyc,"218 w 35th st, ,",10001,sports bars american (traditional) burgers
ny study room,"312 5th ave, fl 5,",10001,cafes libraries
cavallo's pizzeria,"324 7th ave, ,",10001,pizza
brooklyn bagel & coffee company,"286 8th ave, ,",10001,bagels breakfast & brunch cafes
the kunjip,"32 w 32nd st, ,",10001,korean
gyro cart,"nw corner of w 31st st and 8th ave, ,",10001,food stands
sullivan street bakery,"236 9th ave, ,",10001,bakeries breakfast & brunch cafes
sushi fussion nyc,"224 w 35th st, ,",10001,sushi bars asian fusion
trestle on tenth,"242 10th ave, ,",10001,american (new)
cafe rustico ii,"25 w 35th st, ,",10001,italian pizza
highline pizza,"503 w 28th st,",10001,pizza
vin sur vingt,"1140 broadway,",10001,french wine bars
the breslin bar & dining room,"16 w 29th st, ,",10001,pubs gastropubs breakfast & brunch
lupulo,"835 6th ave, ,",10001,seafood portuguese
the liberty,"29 w 35th st, ,",10001,american (new) bars venues & event spaces
cavallo pizzeria,"334 8th ave,",10001,pizza
arome deli & pizzeria,"138 w 32nd st, ,",10001,pizza
prime cafe,"125 w 26th st, ,",10001,italian american (traditional) breakfast & brunch
b & d halal restaurant,"163b w 29th st, ,",10001,african halal
the cinnamon snail at the pennsy,"2 penn plz, ,",10001,vegan vegetarian
jack doyle's bar & restaurant,"240 w 35th st, ,",10001,american (traditional) pubs irish
pennsylvania 6 nyc,"132 w 31st st,",10001,american (new) breakfast & brunch seafood
stout nyc,"133 w 33rd st, ,",10001,irish sports bars
hudson station,"440 9th ave, ,",10001,american (traditional) sports bars
la sonrisa empanadas,", ,",10001,empanadas food stands
rare bar & grill,"hilton new york fashion district, 152 w 26th st,",10001,burgers american (traditional)
spinelli's pizzeria,"425 7th ave, ,",10001,pizza sandwiches
madison square tavern,"150 w 30th st, ,",10001,bars american (new)
shilla,"37 w 32nd st, ,",10001,korean barbeque
chop shop,"254 10th ave,",10001,asian fusion chinese thai
robert's steakhouse,"536 w 28th st, ,",10001,steakhouses
turntable coffee & music,"34 w 32nd st, fl 5",10001,coffee & tea american (traditional) cafes
pondicheri,"15 west 27th st,",10001,indian
antojito mexicano,"6th avenue & 28th street, ,",10001,mexican food stands
sweetgreen,"1164 broadway, ,",10001,salad vegetarian
bella napoli,"257 7th ave, ,",10001,italian pizza
contorno's restaurant,"30 w 31st st,",10001,italian breakfast & brunch diners
